Transect,Waypoint,Latitude,Longitude,Type,Leg
17,17.1,34.449783,-120.135837,Adaptive,4
17,17.2,33.949662,-121.183105,Adaptive,4
19,19.1,34.583357,-120.667684,Adaptive,4
19,19.2,34.291097,-121.281257,Adaptive,4
21,21.1,34.92275,-120.719,Adaptive,3
21,21.2,34.542616,-121.519064,Adaptive,3
23,23.1,35.233028,-120.897486,Adaptive,3
23,23.2,34.804697,-121.803339,Adaptive,3
25,25.1,35.521818,-121.094486,Adaptive,3
25,25.2,35.16975,-121.843,Adaptive,3
27,27.1,35.778475,-121.353777,Adaptive,3
27,27.2,35.457273,-122.037563,Adaptive,3
29,29.1,36.046298,-121.596124,Adaptive,3
29,29.2,35.751487,-122.226432,Adaptive,3
31,31.1,36.284496,-121.901855,Adaptive,3
31,31.2,35.991805,-122.528591,Adaptive,3
33,33.1,36.717122,-121.828834,Adaptive,3
33,33.2,36.424995,-122.458413,Adaptive,3
35,35.1,36.950344,-122.136942,Adaptive,3
35,35.2,36.658568,-122.768327,Adaptive,3
37,37.1,37.195807,-122.432379,Adaptive,3
37,37.2,36.903875,-123.065235,Adaptive,3
39,39.1,37.527851,-122.543099,Adaptive,3
39,39.2,37.192555,-123.274691,Adaptive,3
74,74.1,42.927656,-124.531536,Adaptive,2
74,74.2,42.927904,-125.330373,Adaptive,2
76,76.1,43.260722,-124.430438,Adaptive,2
76,76.2,43.260751,-125.252422,Adaptive,2
78,78.1,43.59824,-124.274115,Adaptive,2
78,78.2,43.598541,-125.278241,Adaptive,2
80,80.1,43.927253,-124.187391,Adaptive,2
80,80.2,43.927182,-125.298442,Adaptive,2
82,82.1,44.256331,-124.14007,Adaptive,2
82,82.2,44.255752,-125.250122,Adaptive,2
84,84.1,44.594316,-124.108258,Adaptive,2
84,84.2,44.593871,-125.232993,Adaptive,2
107,107.1,48.590118,-124.745726,Adaptive,1
107,107.2,48.343789,-125.057658,Adaptive,1
109,109.1,48.759779,-125.185865,Adaptive,1
109,109.2,48.343872,-125.713131,Adaptive,1
111,111.1,48.951625,-125.635184,Adaptive,1
111,111.2,48.343839,-126.407556,Adaptive,1
113,113.1,49.13991,-126.047588,Adaptive,1
113,113.2,48.53493,-126.819156,Adaptive,1
115,115.1,49.321844,-126.480266,Adaptive,1
115,115.2,48.787394,-127.163457,Adaptive,1
117,117.1,49.561402,-126.844053,Adaptive,1
117,117.2,49.069036,-127.47857,Adaptive,1
119,119.1,49.804601,-127.211281,Adaptive,1
119,119.2,49.354255,-127.795077,Adaptive,1
121,121.1,50.035229,-127.584886,Adaptive,1
121,121.2,49.582654,-128.173783,Adaptive,1
123,123.1,50.239742,-128.006685,Adaptive,1
123,123.2,49.789131,-128.594983,Adaptive,1
125,125.1,50.554135,-128.277082,Adaptive,1
125,125.2,50.063818,-128.920582,Adaptive,1
1,1.1,32.757931,-117.28511,Compulsory,4
1,1.102,32.60661,-117.596024,Compulsory,4
1,1.103,32.631663,-117.829795,Compulsory,4
1,1.104,32.444922,-117.930869,Compulsory,4
1,1.105,32.303354,-118.221005,Compulsory,4
2,2.1,32.961511,-117.287107,Compulsory,4
2,2.2,32.461289,-118.316413,Compulsory,4
3,3.1,33.117342,-117.344333,Compulsory,4
3,3.2,32.617943,-118.376102,Compulsory,4
4,4.1,33.245938,-117.474144,Compulsory,4
4,4.101,32.82383,-118.345408,Compulsory,4
4,4.102,32.819136,-118.344208,Compulsory,4
4,4.103,32.814121,-118.350925,Compulsory,4
4,4.104,32.81269,-118.366491,Compulsory,4
4,4.2,32.747926,-118.49968,Compulsory,4
5,5.1,33.363135,-117.609926,Compulsory,4
5,5.2,32.9358,-118.494136,Compulsory,4
6,6.1,33.488977,-117.747652,Compulsory,4
6,6.2,32.989119,-118.783258,Compulsory,4
7,7.1,33.586933,-117.944648,Compulsory,4
7,7.101,33.393326,-118.344827,Compulsory,4
7,7.102,33.329721,-118.290659,Compulsory,4
7,7.103,33.30654,-118.288365,Compulsory,4
7,7.104,33.290159,-118.324994,Compulsory,4
7,7.105,33.311122,-118.382177,Compulsory,4
7,7.106,33.309868,-118.422504,Compulsory,4
7,7.107,33.317433,-118.490453,Compulsory,4
7,7.2,33.15126,-118.835011,Compulsory,4
8,8.1,33.678706,-118.14357,Compulsory,4
8,8.101,33.487863,-118.540503,Compulsory,4
8,8.102,33.488507,-118.601295,Compulsory,4
8,8.103,33.470479,-118.624018,Compulsory,4
8,8.104,33.448073,-118.620955,Compulsory,4
8,8.2,33.1902,-119.154861,Compulsory,4
9,9.1,33.741049,-118.419978,Compulsory,4
9,9.2,33.253906,-119.43222,Compulsory,4
10,10.1,33.913516,-118.46828,Compulsory,4
10,10.2,33.41355,-119.509676,Compulsory,4
11,11.1,34.017292,-118.665829,Compulsory,4
11,11.2,33.516775,-119.707306,Compulsory,4
12,12.1,34.05423,-118.998839,Compulsory,4
12,12.2,33.553738,-120.041102,Compulsory,4
13,13.1,34.114535,-119.263594,Compulsory,4
13,13.2,33.614453,-120.307469,Compulsory,4
14,14.1,34.244818,-119.390049,Compulsory,4
14,14.101,34.065229,-119.765806,Compulsory,4
14,14.102,34.093135,-119.927319,Compulsory,4
14,14.103,34.055201,-119.958283,Compulsory,4
14,14.104,33.978849,-119.945053,Compulsory,4
14,14.105,33.893327,-119.955311,Compulsory,4
14,14.106,33.881724,-120.145767,Compulsory,4
14,14.2,33.815166,-120.284748,Compulsory,4
15,15.1,34.369935,-119.514599,Compulsory,4
15,15.101,34.047609,-120.189014,Compulsory,4
15,15.102,34.053801,-120.229226,Compulsory,4
15,15.103,34.038544,-120.255897,Compulsory,4
15,15.104,34.013259,-120.261516,Compulsory,4
15,15.2,33.876175,-120.547062,Compulsory,4
16,16.1,34.398003,-119.844959,Compulsory,4
16,16.2,33.897721,-120.891872,Compulsory,4
18,18.1,34.466051,-120.48999,Compulsory,4
18,18.2,34.163658,-121.123083,Compulsory,4
20,20.1,34.76254,-120.663922,Compulsory,4
20,20.2,34.460512,-121.29908,Compulsory,4
22,22.1,35.128642,-120.697125,Compulsory,3
22,22.2,34.656503,-121.695656,Compulsory,3
24,24.1,35.400694,-120.925872,Compulsory,3
24,24.2,35.00963,-121.756184,Compulsory,3
26,26.1,35.643163,-121.255241,Compulsory,3
26,26.2,35.345609,-121.887416,Compulsory,3
28,28.1,35.907562,-121.498304,Compulsory,3
28,28.2,35.612833,-122.126411,Compulsory,3
30,30.1,36.185322,-121.719197,Compulsory,3
30,30.2,35.893349,-122.344156,Compulsory,3
32,32.1,36.463924,-121.936488,Compulsory,3
32,32.2,36.171905,-122.564457,Compulsory,3
34,34.1,36.883263,-121.881521,Compulsory,3
34,34.2,36.591594,-122.511917,Compulsory,3
36,36.1,37.064391,-122.2819,Compulsory,3
36,36.2,36.772427,-122.913573,Compulsory,3
38,38.1,37.37888,-122.469813,Compulsory,3
38,38.2,37.081431,-123.117809,Compulsory,3
40,40.1,37.701285,-122.579814,Compulsory,3
40,40.2,37.33007,-123.391823,Compulsory,3
42,42.1,37.975384,-122.820713,Compulsory,3
42,42.2,37.683469,-123.460599,Compulsory,3
44,44.1,38.262803,-123.020291,Compulsory,3
44,44.2,37.970886,-123.662841,Compulsory,3
46,46.1,38.5205,-123.288,Compulsory,3
46,46.2,38.228612,-123.933118,Compulsory,3
48,48.1,38.771666,-123.584303,Compulsory,3
48,48.2,38.480491,-124.231026,Compulsory,3
50,50.1,39.085206,-123.730961,Compulsory,3
50,50.2,38.793657,-124.38094100000001,Compulsory,3
52,52.1,39.412553,-123.832208,Compulsory,3
52,52.2,39.120803,-124.485703,Compulsory,3
54,54.1,39.782179,-123.867967,Compulsory,3
54,54.2,39.490834,-124.52412699999999,Compulsory,3
56,56.1,40.070235,-124.114106,Compulsory,3
56,56.2,39.716868,-124.911232,Compulsory,3
58,58.1,40.324513,-124.374712,Compulsory,3
58,58.2,39.975334,-125.1672,Compulsory,3
59,59.1,40.450675,-124.499839,Compulsory,2
59,59.2,40.450453,-125.266649,Compulsory,2
61,61.1,40.77486,-124.267434,Compulsory,2
61,61.2,40.774816,-125.03794,Compulsory,2
63,63.1,41.089336,-124.192159,Compulsory,2
63,63.2,41.089295,-124.966479,Compulsory,2
65,65.1,41.420246,-124.122526,Compulsory,2
65,65.2,41.419938,-125.020872,Compulsory,2
67,67.1,41.765263,-124.273393,Compulsory,2
67,67.2,41.764842,-125.112459,Compulsory,2
69,69.1,42.094185,-124.369283,Compulsory,2
69,69.2,42.094025,-125.163888,Compulsory,2
71,71.1,42.427484,-124.498174,Compulsory,2
71,71.2,42.4275,-125.288691,Compulsory,2
73,73.1,42.760922,-124.54521,Compulsory,2
73,73.2,42.760965,-125.340554,Compulsory,2
75,75.1,43.09417,-124.46,Compulsory,2
75,75.2,43.09417,-125.259,Compulsory,2
77,77.1,43.425777,-124.318279,Compulsory,2
77,77.2,43.425871,-125.271744,Compulsory,2
79,79.1,43.762113,-124.212676,Compulsory,2
79,79.2,43.761677,-125.31127,Compulsory,2
81,81.1,44.090209,-124.162541,Compulsory,2
81,81.2,44.09076,-125.250244,Compulsory,2
83,83.1,44.4275,-124.115,Compulsory,2
83,83.2,44.426927,-125.273172,Compulsory,2
85,85.1,44.760121,-124.094859,Compulsory,2
85,85.2,44.759831,-125.306874,Compulsory,2
86,86.1,44.927166,-124.060106,Compulsory,2
86,86.2,44.927677,-125.319999,Compulsory,2
87,87.1,45.089578,-124.030625,Compulsory,2
87,87.2,45.089797,-125.307981,Compulsory,2
88,88.1,45.257741,-124.017084,Compulsory,2
88,88.2,45.257245,-125.276208,Compulsory,2
89,89.1,45.419625,-124.006197,Compulsory,2
89,89.2,45.420342,-125.354148,Compulsory,2
90,90.1,45.587952,-123.981286,Compulsory,2
90,90.2,45.587995,-125.284722,Compulsory,2
91,91.1,45.758069,-124.004704,Compulsory,2
91,91.2,45.758075,-125.218847,Compulsory,2
92,92.1,45.925711,-124.005665,Compulsory,2
92,92.2,45.925831,-125.376279,Compulsory,2
93,93.1,46.086853,-124.011655,Compulsory,2
93,93.2,46.087027,-125.480224,Compulsory,2
94,94.1,46.254299,-124.17538,Compulsory,2
94,94.2,46.254841,-125.364527,Compulsory,2
95,95.1,46.421495,-124.137029,Compulsory,2
95,95.2,46.421511,-125.109323,Compulsory,2
96,96.1,46.583691,-124.139192,Compulsory,2
96,96.2,46.583531,-125.282356,Compulsory,2
97,97.1,46.750333,-124.17592,Compulsory,1
97,97.2,46.75067,-125.338,Compulsory,1
98,98.1,46.922993,-124.256264,Compulsory,1
98,98.2,46.923252,-125.302037,Compulsory,1
99,99.1,47.095329,-124.267517,Compulsory,1
99,99.2,47.095227,-125.916095,Compulsory,1
100,100.1,47.25761,-124.331267,Compulsory,1
100,100.2,47.258446,-126.014072,Compulsory,1
101,101.1,47.425683,-124.470533,Compulsory,1
101,101.2,47.424953,-126.15478,Compulsory,1
102,102.1,47.591494,-124.493527,Compulsory,1
102,102.2,47.592028,-126.194882,Compulsory,1
103,103.1,47.763292,-124.552919,Compulsory,1
103,103.2,47.763648,-126.304427,Compulsory,1
104,104.1,47.926094,-124.709633,Compulsory,1
104,104.2,47.92617,-126.36,Compulsory,1
105,105.1,48.094026,-124.744406,Compulsory,1
105,105.2,48.093601,-126.406944,Compulsory,1
106,106.1,48.260833,-124.729,Compulsory,1
106,106.2,48.260685,-126.355276,Compulsory,1
108,108.1,48.685585,-124.951879,Compulsory,1
108,108.2,48.344015,-125.38486,Compulsory,1
110,110.1,48.832449,-125.440105,Compulsory,1
110,110.2,48.343695,-126.060642,Compulsory,1
112,112.1,49.00602,-125.879865,Compulsory,1
112,112.2,48.349099,-126.713681,Compulsory,1
114,114.1,49.225031,-126.269415,Compulsory,1
114,114.2,48.671276,-126.976792,Compulsory,1
116,116.1,49.485047,-126.610656,Compulsory,1
116,116.2,48.98692,-127.250381,Compulsory,1
118,118.1,49.723331,-126.9788,Compulsory,1
118,118.2,49.155654,-127.711928,Compulsory,1
120,120.1,49.942709,-127.37129,Compulsory,1
